Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.92) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,,,,,,,,,,,,
Morocco,5.254,5.328,5.179,2.448,0.779,0.797,0.669,0.460,0.026,0.074,,,,,,,,,,,,,Algeria
China,5.246,5.294,5.197,1.586,0.989,1.142,0.799,0.597,0.029,0.103,,,,,,,,,,,,,Morocco
Azerbaijan,5.201,5.270,5.131,1.776,1.024,1.161,0.603,0.430,0.031,0.176,,,,,,,,,,,,,China
Lebanon,5.199,5.288,5.110,1.771,0.965,1.166,0.785,0.292,0.187,0.034,,,,,,,,,,,,,Azerbaijan
Macedonia,5.185,5.279,5.091,1.675,0.959,1.239,0.691,0.394,0.173,0.052,,,,,,,,,,,,,Lebanon
Jordan,5.161,5.269,5.052,1.697,0.822,1.265,0.645,0.468,0.130,0.134,,,,,,,,,,,,,Macedonia
Nigeria,5.155,5.275,5.035,2.552,0.689,1.172,0.048,0.462,0.201,0.032,,,,,,,,,,,,,Jordan
Kyrgyzstan,5.131,5.217,5.045,1.736,0.530,1.416,0.594,0.540,0.281,0.035,,,,,,,,,,,,,Nigeria
Bosnia and Herzegovina,5.129,5.224,5.035,1.883,0.915,1.078,0.758,0.280,0.216,0.000,,,,,,,,,,,,,Kyrgyzstan
Mongolia,5.125,5.199,5.050,1.438,0.914,1.517,0.575,0.395,0.253,0.032,,,,,,,,,,,,,Bosnia and Herzegovina
Vietnam,5.103,5.177,5.030,1.447,0.715,1.365,0.702,0.618,0.177,0.079,,,,,,,,,,,,,Mongolia
Indonesia,5.093,5.194,4.991,1.417,0.899,1.215,0.522,0.538,0.484,0.018,,,,,,,,,,,,,Vietnam
Bhutan,5.082,5.196,4.969,1.348,0.796,1.335,0.527,0.541,0.364,0.171,,,,,,,,,,,,,Indonesia
Somalia,4.982,5.087,4.876,2.961,0.000,0.712,0.115,0.674,0.238,0.282,,,,,,,,,,,,,Bhutan
Cameroon,4.975,5.090,4.860,2.688,0.535,0.891,0.182,0.454,0.183,0.043,,,,,,,,,,,,,Somalia
Bulgaria,4.933,5.022,4.844,1.219,1.054,1.515,0.712,0.359,0.064,0.009,,,,,,,,,,,,,Cameroon
Nepal,4.880,4.992,4.769,1.782,0.425,1.228,0.539,0.526,0.302,0.078,,,,,,,,,,,,,Bulgaria
Venezuela,4.806,4.956,4.655,1.442,0.996,1.469,0.657,0.133,0.056,0.052,,,,,,,,,,,,,Nepal
Gabon,4.758,4.860,4.657,1.715,1.036,1.164,0.404,0.356,0.032,0.052,,,,,,,,,,,,,Venezuela
Palestinian Territories,4.743,4.851,4.636,1.853,0.642,1.217,0.602,0.266,0.086,0.076,,,,,,,,,,,,,Gabon
South Africa,4.724,4.831,4.617,1.368,0.940,1.410,0.330,0.516,0.103,0.056,,,,,,,,,,,,,Palestinian Territories
Iran,4.707,4.822,4.591,1.315,1.059,0.771,0.691,0.459,0.282,0.129,,,,,,,,,,,,,South Africa
Ivory Coast,4.671,4.780,4.562,2.463,0.541,0.872,0.080,0.467,0.146,0.103,,,,,,,,,,,,,Iran
Ghana,4.657,4.765,4.549,2.093,0.592,0.896,0.337,0.499,0.212,0.029,,,,,,,,,,,,,Ivory Coast
Senegal,4.631,4.707,4.555,2.026,0.429,1.117,0.433,0.406,0.138,0.082,,,,,,,,,,,,,Ghana
Laos,4.623,4.773,4.473,1.399,0.720,1.034,0.441,0.626,0.230,0.174,,,,,,,,,,,,,Senegal
Tunisia,4.592,4.677,4.508,1.722,0.900,0.906,0.690,0.271,0.040,0.063,,,,,,,,,,,,,Laos
Albania,4.586,4.695,4.477,1.462,0.916,0.817,0.790,0.419,0.149,0.032,,,,,,,,,,,,,Tunisia
Sierra Leone,4.571,4.712,4.429,2.855,0.256,0.813,0.000,0.355,0.238,0.053,,,,,,,,,,,,,Albania
Congo (Brazzaville),4.559,4.688,4.430,2.041,0.682,0.811,0.343,0.514,0.091,0.077,,,,,,,,,,,,,Sierra Leone
Bangladesh,4.500,4.583,4.418,1.664,0.532,0.850,0.579,0.580,0.153,0.144,,,,,,,,,,,,,Congo (Brazzaville)
Sri Lanka,4.471,4.592,4.349,0.624,0.918,1.314,0.672,0.585,0.307,0.050,,,,,,,,,,,,,Bangladesh
Iraq,4.456,4.602,4.309,1.393,1.010,0.971,0.536,0.304,0.148,0.095,,,,,,,,,,,,,Sri Lanka
Mali,4.447,4.539,4.355,2.130,0.370,1.233,0.152,0.367,0.139,0.056,,,,,,,,,,,,,Iraq
Namibia,4.441,4.654,4.229,1.287,0.874,1.281,0.365,0.519,0.051,0.064,,,,,,,,,,,,,Mali
Cambodia,4.433,4.536,4.329,1.321,0.549,1.088,0.457,0.696,0.256,0.065,,,,,,,,,,,,,Namibia
Burkina Faso,4.424,4.517,4.332,2.145,0.314,1.097,0.254,0.312,0.175,0.128,,,,,,,,,,,,,Cambodia
Egypt,4.419,4.510,4.328,1.444,0.885,1.025,0.553,0.312,0.092,0.107,,,,,,,,,,,,,Burkina Faso
Mozambique,4.417,4.577,4.256,2.249,0.198,0.902,0.173,0.531,0.206,0.158,,,,,,,,,,,,,Egypt
Kenya,4.410,4.513,4.306,1.503,0.493,1.048,0.454,0.504,0.352,0.055,,,,,,,,,,,,,Mozambique
Zambia,4.377,4.508,4.247,1.667,0.562,1.047,0.295,0.503,0.221,0.082,,,,,,,,,,,,,Kenya
Mauritania,4.356,4.447,4.264,1.905,0.557,1.245,0.292,0.129,0.134,0.093,,,,,,,,,,,,,Zambia
Ethiopia,4.350,4.429,4.272,1.884,0.308,0.950,0.391,0.452,0.220,0.146,,,,,,,,,,,,,Mauritania
Georgia,4.340,4.425,4.256,1.624,0.853,0.592,0.643,0.375,0.038,0.215,,,,,,,,,,,,,Ethiopia
Armenia,4.321,4.412,4.229,1.483,0.816,0.990,0.666,0.260,0.077,0.028,,,,,,,,,,,,,Georgia
Myanmar,4.308,4.383,4.233,0.667,0.682,1.174,0.429,0.580,0.598,0.178,,,,,,,,,,,,,Armenia
Chad,4.301,4.420,4.181,2.553,0.358,0.907,0.053,0.189,0.181,0.060,,,,,,,,,,,,,Myanmar
Congo (Kinshasa),4.245,4.341,4.149,2.274,0.069,1.136,0.204,0.312,0.197,0.052,,,,,,,,,,,,,Chad
India,4.190,4.237,4.142,1.432,0.721,0.747,0.485,0.539,0.172,0.093,,,,,,,,,,,,,Congo (Kinshasa)
Niger,4.166,4.270,4.061,2.283,0.131,0.867,0.221,0.390,0.175,0.099,,,,,,,,,,,,,India
Uganda,4.161,4.282,4.040,1.742,0.322,1.090,0.237,0.450,0.259,0.061,,,,,,,,,,,,,Niger
Benin,4.141,4.255,4.028,2.481,0.378,0.372,0.240,0.440,0.163,0.067,,,,,,,,,,,,,Uganda
Sudan,4.139,4.345,3.932,1.750,0.605,1.240,0.312,0.016,0.134,0.082,,,,,,,,,,,,,Benin
Ukraine,4.103,4.197,4.009,0.927,0.793,1.413,0.609,0.163,0.187,0.011,,,,,,,,,,,,,Sudan
Togo,3.999,4.110,3.887,2.319,0.259,0.474,0.253,0.434,0.158,0.101,,,,,,,,,,,,,Ukraine
Guinea,3.964,4.070,3.858,1.943,0.344,0.792,0.211,0.394,0.185,0.094,,,,,,,,,,,,,Togo
Lesotho,3.808,4.045,3.572,1.392,0.472,1.215,0.079,0.423,0.116,0.112,,,,,,,,,,,,,Guinea
Angola,3.795,3.951,3.638,1.531,0.730,1.125,0.269,0.000,0.079,0.061,,,,,,,,,,,,,Lesotho
Madagascar,3.774,3.857,3.690,1.778,0.262,0.908,0.402,0.221,0.155,0.049,,,,,,,,,,,,,Angola
Zimbabwe,3.692,3.806,3.579,1.356,0.357,1.094,0.248,0.406,0.132,0.099,,,,,,,,,,,,,
Afghanistan,3.632,3.715,3.548,2.196,0.332,0.537,0.255,0.085,0.191,0.036,,,,,,,,,,,,,Zimbabwe
Botswana,3.590,3.704,3.475,0.292,1.017,1.174,0.417,0.557,0.042,0.092,,,,,,,,,,,,,Afghanistan
Malawi,3.587,3.691,3.482,1.732,0.186,0.541,0.306,0.531,0.210,0.080,,,,,,,,,,,,,Botswana
Haiti,3.582,3.713,3.451,1.744,0.315,0.714,0.289,0.025,0.392,0.104,,,,,,,,,,,,,Malawi
Liberia,3.495,3.623,3.368,1.640,0.076,0.858,0.267,0.419,0.206,0.030,,,,,,,,,,,,,Haiti
Syria,3.462,3.664,3.260,1.244,0.689,0.382,0.539,0.088,0.376,0.144,,,,,,,,,,,,,Liberia
Rwanda,3.408,3.500,3.317,0.500,0.332,0.896,0.400,0.636,0.200,0.444,,,,,,,,,,,,,Syria
Yemen,3.355,3.448,3.262,1.106,0.442,1.073,0.343,0.244,0.083,0.064,,,,,,,,,,,,,Rwanda
Tanzania,3.303,3.414,3.193,0.628,0.455,0.991,0.381,0.481,0.270,0.097,,,,,,,,,,,,,Yemen
South Sudan,3.254,3.385,3.123,1.691,0.337,0.608,0.177,0.112,0.224,0.106,,,,,,,,,,,,,Tanzania
Central African Republic,3.083,3.227,2.939,2.487,0.024,0.000,0.010,0.305,0.218,0.038,,,,,,,,,,,,,South Sudan
Burundi,2.905,3.074,2.735,1.752,0.091,0.627,0.145,0.065,0.149,0.076,,,,,,,,,,,,,Central African Republic
,,,,,,,,,,,,,,,,,,,,,,,Burundi
